Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
CGTN Sports Scene,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNSportsScene,https://twitter.com/CGTNSportsScene,7582
CGTN Stories,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNStories,https://twitter.com/CGTNStories,1669
CGTN Tech,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNTech,https://twitter.com/CGTNTech,1206
CGTN Travel,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNTravel,https://twitter.com/CGTNTravel,494
CGTN Travelogue,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtntravelogue,https://twitter.com/cgtntravelogue,973
CGTN United Nations,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnun,https://twitter.com/cgtnun,33
Zhang Ping,,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGZhangPingLA,https://twitter.com/CGZhangPingLA,7021
Liu Chen,,Kenya,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Chen1126,https://twitter.com/Chen1126,2052
Chen Huixin,,Finland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chenhuixin,https://twitter.com/chenhuixin,736
Chen Juan,,Anglosphere,English,Shanghai Media Group (SMG),上海文化广播影视集团有限公司,Shanghai Municipal Committee,中共上海市委,Chenjuan,https://twitter.com/Chenjuan,592
Chen Mingjian,陈明健,Tanzania,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChenMingjian_CN,https://twitter.com/ChenMingjian_CN,10500
Chen Ping,陈平,Spain,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChenPingMFA,https://twitter.com/ChenPingMFA,8391
Chen Weihua,陈卫华,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,chenweihua,https://twitter.com/chenweihua,195700
Chen Wendi,,Somalia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHENWendi11,https://twitter.com/CHENWendi11,241
China Focus,,Anglosphere,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,China__Focus,https://twitter.com/China__Focus,61100
Chinese Embassy in India,,India,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,China_Amb_India,https://twitter.com/China_Amb_India,96200
